Item,Item Type,Subtype,Rarity,Act,Overworld,Area,Location,Story Requirements,Tags
Firzu's Ring of Trading,Ring,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: 82 Y: -1006),Deception
True Love's Embrace,Ring,,Rare,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: -212 Y:0),Damage Reduction
Watcher's Shield,Shield,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: -250 Y: 36),Perception
Strange Tendril Amulet,Neck,,Rare,2,Shadow-Cursed Lands,Reithwin Town,House of Healing Morgue,Find the item (X: 85 Y: -1007),"Bludgeoning, Restrained, Speed Reduction"
Arabella's Shadow Entangle,Other,,,2,Shadow-Cursed Lands,Reithwin Town,House of Healing Morgue,"Save Arabella and Protect the Emerald Grove (Act 1), then tell Arabella about her parents (Act 2)","Critical Hits, Attack Roll Penalty, Restrained, Conjuration"
Bided Time,Torso,Clothing,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing Morgue,Find the item (Chest),"Spell Damage, Retaliation"
Helmet of Arcane Acuity,Head,Light,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,Mason's Guild,Find the item (X: 107 Y: -758),"Generally Good, Spell Attacks, Spell DC, Arcane Acuity"
Fireheart,Neck,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,Reithwin Tollhouse,Find the item (X: -127 Y: -78),"Heat, Fire"
Ironvine Shield,Shield,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,Reithwin Tollhouse,Find the item (X: -127 Y: -95),"Piercing, Shillelagh, Retaliation"
Ritual Dagger of Shar,Melee,Simple,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,Sharran Sanctuary,Loot Sharran Sanctuary,"Necrotic, Dagger"
Ichorous Gloves,Gloves,Clothing,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,The Waning Moon,Find the item (X: -253 Y: -71),Acid
Punch-Drunk Bastard,Melee,Simple,Rare,2,Shadow-Cursed Lands,Reithwin Town,The Waning Moon,Find the item (Back Storage),"Attack Roll Bonus, Thunder, Drunk, Damage Rider Source, Greatclub"
Rat Bat,Melee,Simple,Rare,2,Shadow-Cursed Lands,Reithwin Town,The Waning Moon,Find the item (X: -224 Y: -78),"Attack Roll Bonus, Damage Bonus, Greatclub"
Luminous Gloves,Gloves,Clothing,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: -52 Y: 11),"Save Bonus, Attack Roll Penalty, Radiant, Radiating Orb"
Raven Gloves,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Ruined Battlefield,-,Punish the Wicked for He Who Was,"Conjuration, Summon"
Ironwood Club,Melee,Simple,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Loot Shadow-Cursed Shambling Mound,"Damage Bonus, Bludgeoning, Transmutation, Shillelagh, Club"
Frost Prince,Neck,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: 80 Y: -96),"Cold, Speed Reduction, Conjuration"
Family Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X:108 Y:128),"Save Bonus, Healing"
Ring of Mental Inhibition,Ring,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: 76 Y: 40),Save Penalty
Ring of Self Immolation,Ring,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: 29 Y: 63),"Heat, Burning"
Shadow-Cloaked Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,"Destroy everburning torches, then loot Shadow Mastiff Alpha","Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons, Unarmed Attacks, Obscured"
Ring of Twilight,Ring,,Rare,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: -34 Y: -12),"Armor Class Bonus, Obscured"
Gloomstrand Shield,Shield,,Uncommon,2,Shadow-Cursed Lands,Ruined Battlefield,-,Find the item (X: -60 Y: -114),Stealth
Dark Justiciar Boots,Boots,Medium,Rare,2,The Shadowfell,-,-,Kill the Nightsong,"Save Bonus, Teleport, Obscured"
Dark Justiciar Gauntlets (Rare),Gloves,Clothing,Rare,2,The Shadowfell,-,-,Kill the Nightsong,"Damage Bonus, Save Bonus, Obscured, Necrotic"
Moonlight Glaive,Melee,Martial,Rare,2,The Shadowfell,-,-,Free the Nightsong,"Radiant, Damage Rider Source, Glaive"
Selûne's Spear of Night,Melee,Simple,Legendary,2,The Shadowfell,-,-,Spare the Nightsong,"Damage Bonus, Save Bonus, Radiant, Speed Reduction, Perception, Evocation, Spear"
Shar's Spear of Evening,Melee,Simple,Legendary,2,The Shadowfell,-,-,Convince Shadowheart to kill the Nightsong,"Damage Bonus, Save Bonus, Obscured, Blinded, Spear"
Dark Justiciar Half-Plate +,Torso,Medium,Very Rare,2,The Shadowfell,-,-,Kill the Nightsong,"Save Bonus, Damage Reduction, Obscured, Stealth, Abjuration, Retaliation"
Hat of Fire Acuity,Head,Clothing,Uncommon,2 or 3,Multiple Locations,-,-,Loot the Strange Ox,"Spell Attacks, Spell DC, Arcane Acuity, Fire"
Blade of Oppressed Souls,Melee,Martial,Rare,2 or 3,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,Solve Necrotic Laboratory puzzle,"Psychic, Uncontrolled, Longsword"
Gauntlets of Hill Giant Strength,Gloves,Clothing,Very Rare,3,House of Hope,-,-,Find the item (X: -6549 Y: 2940),"Generally Good, STR Increase, STR Check Bonus, Save Bonus, Athletics"
Helldusk Gloves,Gloves,Clothing,Very Rare,3,House of Hope,-,-,Loot Haarlep,"Damage Bonus, Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons, Unarmed Attacks, Spell Attacks, Spell DC, Fire, Bleeding, Evocation"
Gloves of Soul Catching,Gloves,Clothing,Legendary,3,House of Hope,-,-,Save Hope,"CON Increase, Attack Roll Bonus, Unarmed Attacks, Save Bonus, Max Hit Points, Regeneration"
Helldusk Helmet,Head,Clothing,Very Rare,3,House of Hope,-,-,Find the item (X: -6482 Y: 2939),"Save Bonus, Critical Hit Immunity, Condition Immunity, Fire, Burning, Frightened"
Orphic Hammer,Melee,Martial,Legendary,3,House of Hope,-,-,Deal with Raphael or steal from the Archive,"Save Bonus, Condition Immunity, Warhammer"
Staff of Spellpower,Melee,Simple,Very Rare,3,House of Hope,-,-,Find the item (X: -6486 Y: 2939),"Spell Attacks, Spell DC, Spell Slot, Quarterstaff"
Amulet of Greater Health,Neck,,Very Rare,3,House of Hope,-,-,Find the item (X: -6548 Y: -2901),"Generally Good, CON Increase, Save Bonus, Max Hit Points"
Burnished Ring,Ring,,Very Rare,3,House of Hope,-,-,Loot the Spectator,"Critical Hits, Armour Class Penalty, Incapacitated, Necromancy"
Hope's Shield,Shield,,Very Rare,3,House of Hope,-,-,"Free Hope, then loot her",Armor Class Bonus
Helldusk Armour,Torso,Heavy,Legendary,3,House of Hope,-,-,Loot Raphael,"Damage Reduction, Flight, Fire, Burning, Retaliation"
Boots of Psionic Movement,Boots,Medium,Very Rare,3,Lower City,-,-,Loot Ch'r'ai Har'rak,"Save Bonus, Flight, Psychic, Githyanki, Transmutation"
Winkling Gloves,Gloves,Clothing,Rare,3,Lower City,-,-,Loot Zanner Toobin,"Attack Roll Bonus, Sleight of Hand"
Hat of the Sharp Caster,Head,Clothing,Rare,3,Lower City,-,-,Trade Tara fish,Spell Damage
Bonespike Helmet,Head,Clothing,Very Rare,3,Lower City,-,-,Trade Voiceless Penitent Bareki,"Psychic, Frightened, Barbarian, Intimidation"
Steelwatcher Helmet,Head,Medium,Rare,3,Lower City,-,-,Find the item (X: -275 Y: -134),Condition Immunity
Duellist's Prerogative,Melee,Martial,Legendary,3,Lower City,-,-,Save Vanra,"Damage Bonus, Critical Hits, Bleeding, Multi-Hit, Damage Rider Source, Rapier"
Staff of Interruption,Melee,Simple,Rare,3,Lower City,-,-,Help the Hag Survivors,"Spell Attacks, Spell DC, Silenced, Abjuration, Quarterstaff"
Abdel's Trusted Shield,Shield,,Very Rare,3,Lower City,-,-,Convince Golbraith,"Damage Reduction, Attack Roll Penalty, Prone, Abjuration, Retaliation"
Cloth Armour,Torso,Clothing,Uncommon,3,Lower City,-,-,Find the item (X: -1266 Y: 744),"Spell Damage, Retaliation"
Amulet of Windrider,Neck,,Very Rare,3,Lower City,Basilisk Gate Barracks,-,Save Vanra,"Save Bonus, Damage Reduction, Forced Movement, Transmutation"
Blackguard's Greaves,Boots,Medium,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot That Which Lurks,"Movement Speed, Athletics"
Craterflesh Gloves,Gloves,Clothing,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Damage Bonus, Critical Hits, Force, Damage Rider Source"
Bhaalist Gloves,Gloves,Clothing,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Attack Roll Bonus, Silenced"
Blackguard's Gauntlets,Gloves,Medium,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot That Which Watches,"Attack Roll Bonus, Save Bonus, Necrotic, Necromancy"
Assassin of Bhaal Cowl,Head,Clothing,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Initiative, Transmutation"
Sarevok's Horned Helmet,Head,Medium,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot Sarevok,"Critical Hits, Condition Immunity"
Blackguard's Sword,Melee,Martial,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot That Which Guards,"Armour Class Penalty, Save Penalty, Necrotic, Paladin, Longsword"
Fleshrender,Melee,Martial,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Necrotic, Shortsword"
Vicious Battleaxe,Melee,Martial,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Damage Bonus, Critical Hits, Battleaxe"
Sword of Chaos,Melee,Martial,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot Sarevok,"Regeneration, Necrotic, Greatsword"
Dread Iron Dagger,Melee,Simple,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Hidden, Necrotic, Dagger"
Vicious Shortbow,Melee,Simple,Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Damage Bonus, Critical Hits, Shortbow"
Amulet of Bhaal,Neck,,,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Loot Sarevok, or Accept Bhaal and become an Unholy Assassin","Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons, Unarmed Attacks, Bleeding"
Shield of the Undevout,Shield,,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot That Which Guards,"Save Penalty, Frightened, Prone, Spell Slot, Retaliation"
Blackguard's Plate,Torso,Heavy,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,Loot That Which Guards,"Save Bonus, Damage Reduction"
Bhaalist Armour,Torso,Light,Very Rare,3,Lower City,Candulhallow's Tombstones,Murder Tribunal,"Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Initiative, Damage Vulnerability, Piercing"
Cloak of the Weave,Cloak,Clothing,Very Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Damage Bonus, Damage Reduction, Acid, Cold, Fire, Lightning, Thunder"
Spellseeking Gloves,Gloves,Clothing,Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Spell Attacks, Sorcerer"
Gemini Gloves,Gloves,Clothing,Very Rare,3,Lower City,Devil's Fee,-,Trade Helsik,Multi-Hit
Gibus of the Worshipful Servant,Head,Clothing,Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Initiative, Movement Speed, Concentration"
Mask of Soul Perception,Head,Clothing,Very Rare,3,Lower City,Devil's Fee,-,Find the item (X: -33 Y: 20),"Initiative, Attack Roll Bonus, Perception"
Shapeshifter Hat,Head,Clothing,Very Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Druid, Nature"
Hellbeard Halberd,Melee,Martial,Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Poison, Halberd"
Caitiff Staff,Melee,Simple,Rare,3,Lower City,Devil's Fee,-,Trade Helsik,"Spell Attacks, Spell DC, Warlock, Spell Slot, Quarterstaff"
Belm,Melee,Martial,Very Rare,3,Lower City,Elerrathin's Home,-,Find the item (X: -1572 Y: 976),"Multi-Hit, Scimitar"
Staff of the Ram,Melee,Martial,Very Rare,3,Lower City,Elerrathin's Home,-,Find the item (X: -1572 Y: 976),"Forced Movement, Stunned, Quarterstaff"
Khalid's Gift,Neck,,Very Rare,3,Lower City,Elerrathin's Home,-,Find the item (Jaheira's Basement),"Generally Good, WIS Increase, WIS Check Bonus, Temporary Hit Points, Animal Handling, Insight, Medicine, Perception, Abjuration"
Cerebral Citadel Gloves,Gloves,Clothing,Rare,3,Lower City,Elfsong Tavern,-,Visit the Emperor's Old Hideout,"Attack Roll Bonus, Save Bonus, Charmed, Frightened"
Sword of the Emperor,Melee,Martial,Rare,3,Lower City,Elfsong Tavern,-,Visit the Emperor's Old Hideout,"Damage Bonus, Save Bonus, Polymorphed"
Cerebral Citadel Armour,Torso,Heavy,Rare,3,Lower City,Elfsong Tavern,-,Find the item (X: 289 Y: 488),"Condition Immunity, Tadpole"
Unwanted Masterwork Greaves,Boots,Medium,Rare,3,Lower City,Forge of the Nine,-,Find the item (X: 393 Y: 763),Athletics
Boots of Persistence,Boots,Medium,Very Rare,3,Lower City,Forge of the Nine,-,Trade Dammon,"Save Bonus, Condition Immunity, Movement Speed"
Unwanted Masterwork Gauntlets,Gloves,Medium,Rare,3,Lower City,Forge of the Nine,-,Find the item (X: 393 Y: 763),"Attack Roll Bonus, Save Bonus"
Legacy of the Masters,Gloves,Medium,Very Rare,3,Lower City,Forge of the Nine,-,Trade Dammon,"Attack Roll Bonus, Damage Bonus, Save Bonus"
Armour of Persistence,Torso,Heavy,Very Rare,3,Lower City,Forge of the Nine,-,Trade Dammon,"Save Bonus, Damage Reduction"
Unwanted Masterwork Scalemail,Torso,Medium,Rare,3,Lower City,Forge of the Nine,-,Trade Dammon,"Damage Reduction, Fire"
Handmaiden's Mace,Melee,Simple,Very Rare,3,Lower City,House of Grief,-,Loot Viconia DeVir,"STR Increase, STR Check Bonus, Poison, Athletics, Mace"
Mirror of Loss,Other,,,3,Lower City,House of Grief,-,Offer a prayer and a memory to the Mirror (DC 25 Religion),"Generally Good, STR Increase, DEX Increase, CON Increase, INT Increase, WIS Increase, CHA Increase, STR Check Bonus, DEX Check Bonus, INT Check Bonus, WIS Check Bonus, CHA Check Bonus, Acrobatics, Animal Handling, Arcana, Athletics, Deception, History, Insight, Intimidation, Investigation, Medicine, Nature, Perception, Performance, Persuasion, Religion, Sleight of Hand, Stealth, Survival"
Viconia's Walking Fortress,Shield,,Legendary,3,Lower City,House of Grief,-,Loot Viconia DeVir,"Armor Class Bonus, Save Bonus, Damage Reduction, Force, Prone, Abjuration, Retaliation"
Viconia's Priestess Robe,Torso,Clothing,Rare,3,Lower City,House of Grief,-,Loot Viconia DeVir,"Armor Class Bonus, Save Bonus, Obscured, Stealth"
After Death Do Us Part,Ring,,Rare,3,Lower City,Lady Jannath's Estate,-,"Loot Lady Jannath, tell Lady Jannath the truth about Oskar, or leave Oskar to Kerri (Free the Artist)","Healing, Uncontrolled"
Til Death Do Us Part,Ring,,Rare,3,Lower City,Lady Jannath's Estate,-,"Loot Lady Jannath, or tell Lady Jannath the truth about Oskar (Free the Artist)","Save Bonus, Healing, Abjuration"
Kurwin's Cauteriser,Melee,Martial,Uncommon,3,Lower City,Lower City Graveyard,-,Loot Bugthimble,"Fire, Burning, Scimitar"
Cindermoth Cloak,Cloak,Clothing,Uncommon,3,Lower City,Lower City Sewers,-,Loot Aelis Siryasius,"Burning, Retaliation"
Shade-Slayer Cloak,Cloak,Clothing,Very Rare,3,Lower City,Lower City Sewers,-,Trade Sticky Dondo,"Critical Hits, Hidden"
Breaching Pikestaff,Melee,Martial,Rare,3,Lower City,Lower City Sewers,-,"Find the item (X -1393, Y 56)","Force, Pike"
Silver Sword of the Astral Plane,Melee,Martial,Legendary,3,Lower City,Lower City Sewers,-,Show Voss the Orphic Hammer,"Save Bonus, Psychic, Stunned, Githyanki, Damage Rider Source, Greatsword"
Magic Amulet,Neck,,Rare,3,Lower City,Lower City Sewers,-,Return Sarin's skull,"Attack Roll Bonus, Save Bonus"
Flail of Ages,Melee,Martial,Rare,3,Lower City,Minor Stores & Stalls,Stormshore Armoury,Trade Fytz the Firecracker,"Armour Class Penalty, Damage Vulnerability, Acid, Cold, Fire, Acid Coated, Burning, Transmutation, Flail"
The Dead Shot,Ranged,Martial,Very Rare,3,Lower City,Minor Stores & Stalls,Stormshore Armoury,Trade Fytz the Firecracker,"Attack Roll Bonus, Critical Hits, Longbow"
Armour of Agility,Torso,Medium,Very Rare,3,Lower City,Minor Stores & Stalls,Stormshore Armoury,Trade Gloomy Fentonson,"Armor Class Bonus, Save Bonus"
Fey Semblance Amulet,Neck,,Very Rare,3,Lower City,Old Garlow's Place,-,Avenge the Hag Survivors,Spell DC
Hood of the Weave,Head,Clothing,Very Rare,3,Lower City,Philgrave's Mansion,-,Trade Mystic Carrion,"Spell Attacks, Spell DC"
Staff of Cherished Necromancy,Melee,Simple,Very Rare,3,Lower City,Philgrave's Mansion,-,Loot Mystic Carrion,"Spell DC, Necrotic, Necromancy, Spell Slot, Quarterstaff"
Torch of Revocation,Melee,Simple,Very Rare,3,Lower City,Philgrave's Mansion,-,Find Mystic Carrion's Servant or loot or trade Mystic Carrion,"Fire, Necrotic, Club"
Crypt Lord Ring,Ring,,Very Rare,3,Lower City,Philgrave's Mansion,-,Find Mystic Carrion's Servant: Save Thrumbo,"Necromancy, Summon"
Veil of the Morning,Torso,Clothing,Very Rare,3,Lower City,Philgrave's Mansion,-,Trade or loot Mystic Carrion,"Save Bonus, Attack Roll Penalty, Turned"
Armour of the Sporekeeper,Torso,Light,Very Rare,3,Lower City,Philgrave's Mansion,-,Trade or loot Mystic Carrion,"Spell DC, Hasted, Necrotic, Poison, Uncontrolled, Druid, Symbiotic Entity"
Quickspell Gloves,Gloves,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,Hasted
Birthright,Head,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,"Generally Good, CHA Increase, CHA Check Bonus, Deception, Intimidation, Performance, Persuasion"
Pyroquickness Hat,Head,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,-,Enter the Sorcerous Vault,"Hasted, Fire, Masochism"
Foebreaker,Melee,Martial,Very Rare,3,Lower City,Sorcerous Sundries,-,Enter the Sorcerous Vault,Maul
Hellfire Greataxe,Melee,Martial,Very Rare,3,Lower City,Sorcerous Sundries,-,Enter the Sorcerous Vault,"Heat, Fire, Masochism, Damage Rider Source, Greataxe"
Harper Sacredstriker,Melee,Simple,Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,"Force, Evocation, Quarterstaff"
Ring of Regeneration,Ring,,Very Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,"Generally Good, Healing, Regeneration"
Vest of Soul Rejuvenation,Torso,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,"Unarmed Attacks, Armor Class Bonus, Regeneration, Retaliation"
Armour of Landfall,Torso,Light,Very Rare,3,Lower City,Sorcerous Sundries,-,Trade or loot Lorroakan's Projection or Rolan,"Spell DC, Healing, Regeneration, Transmutation"
Despair of Athkatla,Melee,Simple,Rare,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Loot Lorroakan,"Spell Attacks, Spell DC, Quarterstaff"
Markoheshkir,Melee,Simple,Legendary,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Loot the Globe of Invulnerabiltiy,"Spell Attacks, Spell DC, Spell Damage, Damage Reduction, Damage Vulnerability, Heat, Lightning Charges, Obscured, Acid, Cold, Fire, Lightning, Necrotic, Poison, Radiant, Thunder, Poisoned, Prone, Reverbration, Evocation, Necromancy, Spell Slot, Quarterstaff"
Danse Macabre,Other,,,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Read the Tharchiate Codex and finish the Necromancy of Thay,Summon
The Tharchiate Codex: Blessing,Other,,,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Read the Tharchiate Codex,Temporary Hit Points
Shelter of Athkatla,Torso,Clothing,Rare,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Loot Lorroakan,
Moon Devotion Robe,Torso,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Looted from Isobel,"Armor Class Bonus, Save Bonus, Fire, Abjuration, Conjuration, Retaliation"
Robe of the Weave,Torso,Clothing,Very Rare,3,Lower City,Sorcerous Sundries,Ramazith's Tower,Loot the Globe of Invulnerabiltiy,"Spell Attacks, Spell DC, Armor Class Bonus, Regeneration"
Slayer Knowledge,Other,,,3,Lower City,Steel Watch Foundry,-,Rescue Volo and read his book,"Save Bonus, Frightened"
Hellfire Engine Crossbow,Ranged,Martial,Very Rare,3,Lower City,Steel Watch Foundry,-,"Find the items and combine them
Watcher Crossbow Blueprint (X: -330 Y: -157)
Targeting Module (X: -307 Y: -157)
Steel Watcher Arm (X: -280 Y: -165)","Lightning, Forced Movement, Transmutation, Heavy Crossbow"
Gontr Mael,Ranged,Martial,Legendary,3,Lower City,Steel Watch Foundry,-,Loot Steel Watcher Titan,"Attack Roll Bonus, Hasted, Radiant, Forced Movement, Transmutation, Longbow"
Mantle of the Holy Warrior,Cloak,Clothing,Very Rare,3,Lower City,Stormshore Tabernacle,-,Trade Vicar Humbletoes,"Damage Bonus, Evocation"
The Reviving Hands,Gloves,Medium,Very Rare,3,Lower City,Stormshore Tabernacle,-,Trade Vicar Humbletoes,"Save Bonus, Damage Reduction, Healing, Necromancy"
Hammer of the Just,Melee,Martial,Rare,3,Lower City,Stormshore Tabernacle,-,Break into the basement and steal offerings,"Damage Bonus, Divination, Warhammer"
The Sacred Star,Melee,Martial,Very Rare,3,Lower City,Stormshore Tabernacle,-,Trade Vicar Humbletoes,"Radiant, Blinded, Radiating Orb, Turned, Damage Rider Source, Morningstar"
Amulet of the Devout,Neck,,Very Rare,3,Lower City,Stormshore Tabernacle,-,Break into the basement and steal offerings,"Spell DC, Cleric"
Shield of Shielding,Shield,,Rare,3,Lower City,Stormshore Tabernacle,-,Break into the basement and steal offerings,"Armor Class Bonus, Prone, Abjuration, Retaliation"
Helmet of Grit,Head,Light,Very Rare,3,Lower City,Szarr Palace,-,Find the item (X: -1298 Y: 965),"Save Bonus, Hasted"
Pelorsun Blade,Melee,Martial,Very Rare,3,Lower City,Szarr Palace,Cazador's Dungeon,Find the item (X: -1928 Y: 852),"Attack Roll Bonus, Radiant, Rapier"
Rhapsody,Melee,Simple,Very Rare,3,Lower City,Szarr Palace,Cazador's Dungeon,Loot Cazador Szarr,"Attack Roll Bonus, Damage Bonus, Spell DC, Hidden, Bleeding, Dagger"
Woe,Melee,Simple,Very Rare,3,Lower City,Szarr Palace,Cazador's Dungeon,Defeat Cazador Szarr,"Spell Attacks, Spell DC, Regeneration, Necrotic, Necromancy, Quarterstaff"
Vampire Ascendant,Other,,,3,Lower City,Szarr Palace,Cazador's Dungeon,"Defeat Cazador without killing any of his spawn, then allow Asterion to complete the ascension","Damage Bonus, Melee Weapons, Ranged Weapons, Thrown Weapons, Unarmed Attacks, Save Bonus, Healing, Regeneration, Necrotic"
Salty Scimitar(rrr),Melee,Martial,Rare,3,Lower City,The Blushing Mermaid,-,Loot the true Captain Grisly,"Enchantment, Scimitar"
Unstable Blood,Other,,,3,Lower City,The Blushing Mermaid,-,"Give your blood to Araj Oboldra in Act 2, then help her again","Fire, Burning, Masochism"
Ring of Feywild Sparks,Ring,,Very Rare,3,Lower City,The Blushing Mermaid,-,Loot Auntie Ethel,"Spell DC, Sorcerer, Tides of Chaos"
Knock Knuckle Gloves,Gloves,Clothing,Uncommon,3,Lower City,The Counting House,-,"Loot Nine-Fingers Keene, or break into High Security Vault #7","Sleight of Hand, Abjuration"
Jannath's Hat,Head,Clothing,Very Rare,3,Lower City,The Counting House,-,"Loot Lady Jannath, or break into High Security Vault #2","Deception, Persuasion"
Ravengard's Scourger,Melee,Martial,Rare,3,Lower City,The Counting House,-,"Open the safe on the top floor of Wyrm's Rock Fortress, or break into High Security Vault #5",Morningstar
Trident of the Waves,Melee,Martial,Very Rare,3,Lower City,The Counting House,-,"Open the chest on the second floor of the Water Queen's House, or break into High Security Vault #4","Thrown Weapons, Cold, Wet, Trident"
Spell Savant Amulet,Neck,,Rare,3,Lower City,The Counting House,-,"Open the display case in Ramazith's Tower, or break into High Security Vault #1",Spell Slot
The Long Arm of the Gur,Ranged,Martial,Rare,3,Lower City,The Counting House,-,"Loot Cazador's Sarcophagus, or break into High Security Vault #3","Attack Roll Bonus, Damage Bonus, Heavy Crossbow"
Elegant Studded Leather,Torso,Light,Very Rare,3,Lower City,The Counting House,-,"Return Rakath's Gold, loot Rakath Glitterbeard, or break into High Security Vault #9","Initiative, Armor Class Bonus, Damage Reduction, Stealth, Abjuration"
Unflinching Protector Amulet,Neck,,Very Rare,3,Lower City,The Lodge,-,Loot Ptaris,Armor Class Bonus
Wavemother's Cloak,Cloak,Clothing,Rare,3,Lower City,Water Queen's House,-,Find the item (X: -248 Y: -249),Wet
Wavemother's Sickle,Melee,Simple,Rare,3,Lower City,Water Queen's House,-,Loot Allandra Grey,"Attack Roll Bonus, Wet"
Wavemother's Robe,Torso,Clothing,Very Rare,3,Lower City,Water Queen's House,-,Avenge the Drowned: Side with the Umberlees,"Armor Class Bonus, Damage Reduction, Regeneration, Wet, Transmutation"
Spaceshunt Boots,Boots,Clothing,Rare,3,Lower City,Wine Festival,-,Loot Dolor,"Teleport, Conjuration"
Slinging Shoes,Boots,Clothing,Rare,3,Lower City,Wine Festival,Highberry's Home,Trade Tara fish,"Damage Bonus, Thrown Weapons, Save Bonus, Psychic"
Nymph Cloak,Cloak,Clothing,Very Rare,3,Multiple Locations,-,-,"Open the display case in Ramazith's Tower, or break into High Security Vault #1, OR Trade Ferg Drogher",Enchantment
Duke Ravengard's Longsword,Melee,Martial,Rare,3,Multiple Locations,-,-,Loot or recruit Duke Ulder Ravenguard,"CHA Increase, CHA Check Bonus, Temporary Hit Points, Deception, Intimidation, Performance, Persuasion, Longsword"
Dolor Amarus,Melee,Simple,Rare,3,Multiple Locations,-,-,"Loot Dolor OR Accept Bhaal, become an Unholy Assassin, and trade Echo of Abazigal","Damage Bonus, Critical Hits, Dagger"
Infernal Mace,Melee,Simple,Rare,3,Multiple Locations,-,-,Loot Banite cultists,"Poison, Poisoned, Mace"
Devotee's Mace,Melee,Simple,Legendary,3,Multiple Locations,-,-,Cast Divine Intervention,"Healing, Regeneration, Radiant, Mace"
